Nome Corso,Link,Descrizione per IA
BIOTECHNOLOGICAL AND CHEMICAL SCIENCES IN DIAGNOSTICS,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/biotechnological-and-chemical-sciences-diagnostics,"Il Corso di Laurea Magistrale è denominato Biotechnological and Chemical Sciences in Diagnostics, Scienze biotecnologiche e chimiche per la diagnostica) appartiene alle classi ministeriali LM-8 Biotecnologie Industriali e LM-54 Scienze chimiche ed è offerto in modalità didattica mista, assicurando quindi la fruizione online di non meno del 10 per cento e non più del 75 dei corsi attivati. Il Corso nasce dalla necessità di fornire un supporto culturale-formativo al notevole sviluppo del settore della diagnostica medicale sul territorio piemontese e nazionale. Il Corso di Laurea Magistrale è caratterizzato da un elevato tasso di innovazione, che deriva sia dalla sua natura interclasse (LM-8/LM-54) che dall'argomento trattato e il conseguente profilo formativo-professionale, che lo rendono unico nel panorama nazionale e molto raro nel contesto internazionale. Ulteriori elementi di peculiarità sono lo svolgimento in modalità mista e la completa erogazione in lingua inglese che ne aumenta l'attrattività a livello internazionale e favorisce l'inserimento lavorativo dei laureati magistrali. La scelta dell'erogazione mista, ritenuta punto di forza innovativo. In particolare:"
BIOTECHNOLOGY FOR NEUROSCIENCE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/biotechnology-neuroscience,"Il Corso di Laurea Magistrale (CdLM) in Biotechnology for Neuroscience (Biotecnologie per le Neuroscienze) fa parte della Classe LM-9 delle Lauree Magistrali in Biotecnologie Mediche, Veterinarie e Farmaceutiche ed ha la durata di 2 anni. L'immatricolazione al CdLM, come specificato nel relativo Regolamento Didattico, richiede il possesso di specifici requisiti curriculari ed e' subordinata al superamento di una prova di verifica dell'adeguatezza della personale preparazione, secondo i termini e le modalita' specificate nel Quadro A3 della presente scheda e nel relativo bando di ammissione. Il CdLM ha l'obiettivo di formare figure professionali dotate di elevata conoscenza delle applicazioni biotecnologiche piu' avanzate nell'ambito della ricerca biomedica di base e applicata, con particolare attenzione per quelle che riguardano il settore delle Neuroscienze. A questo scopo, il CdLM intende fornire innanzitutto le conoscenze interdisciplinari indispensabili per operare con elevati livelli di competenza nell'ambito di sviluppo scientifico e tecnico-produttivo che caratterizza le biotecnologie applicate alla medicina. Nel contempo, il CdLM mira a formare uno specialista con competenze multidisciplinari per l'esercizio di attivita' qualificate nell'ambito delle Neuroscienze."
BIOTECNOLOGIE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/biotecnologie,"Il Corso di Laurea si propone di formare laureati con adeguata conoscenza di base dei sistemi biologici, interpretati in chiave molecolare e cellulare che consenta di sviluppare una professionalità operativa; inoltre i laureati possiedono le basi culturali e sperimentali delle tecniche multidisciplinari che caratterizzano l'operatività biotecnologica per la produzione di beni e servizi attraverso l'analisi e l'uso di sistemi biologici. Il Corso di laurea in Biotecnologie è ad accesso programmato; per essere ammessi occorre essere in possesso di un diploma di scuola secondaria superiore di durata quinquennale o di altro titolo di studio conseguito all'estero, riconosciuto idoneo ai sensi delle leggi vigenti. Per poter frequentare lo studente dovrà essere in possesso inoltre di un'adeguata preparazione iniziale; sarà pertanto necessario sostenere un test di ammissione (secondo modalità stabilite dal CCL e pubblicate nel Regolamento del corso di laurea). Dall'anno accademico 2020-21 per potersi immatricolare al Corso di Laurea in Biotecnologie, bisogna sostenere il Test On line CISIA TOLC-B. Verrà considerato valido il punteggio conseguito nel test a partire dal gennaio dell'anno precedente all'anno di iscrizione. Sarà possibile sostenere più volte lo stesso TOLC ma verrà considerato valido unicamente il punteggio conseguito nell'ultimo test sostenuto."
BIOTECNOLOGIE INDUSTRIALI,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/biotecnologie-industriali,"A partire dagli anni '90, le Biotecnologie si sono proposte come uno dei settori altamente dinamici dello sviluppo economico, grazie alla convergenza tra l'estendersi delle conoscenze nell'ambito delle “scienze della vita” e l'interesse del mondo produttivo a “fare impresa” su questa base conoscitiva. Per rispondere alle esigenze di formazione qualificata in questo campo, l'Università di Torino ha istituito un Corso di Laurea Magistrale, afferente alla Scuola di Scienze della Natura, che ha come obiettivo specifico la preparazione di laureati specialistici con competenze nel campo della applicazione imprenditoriale delle conoscenze biotecnologiche alla produzione di beni e servizi e alla salvaguardia dell'ambiente e della salute. Il piano didattico prevede insegnamenti teorici e pratici di livello avanzato di discipline scientifiche e tecniche proprie del settore, l'intervento di esperti nei settori della brevettazione e della Ricerca&Sviluppo e lo svolgimento di stages in azienda. Quest'ultimo tipo di attività, prima occasione di contatto tra gli studenti ed il mondo imprenditoriale, ha lo scopo di fornire la possibilità di sperimentare sul campo gli elementi di congiunzione tra il “sapere” ed il “saper fare impresa” che fanno di una attività “knowledge-based” l'elemento necessario per essere competitivi sul mercato. Il corso di Laurea Magistrale in Biotecnologie Industriali è ad accesso libero, ma prevede la verifica in ingresso di un doppio requisito:"
BIOTECNOLOGIE MEDICHE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/biotecnologie-mediche,"Il Corso di Studio in Biotecnologie Mediche si propone di formare una figura di ricercatore/operatore biomedico dotato di elevata professionalità, in grado di coniugare le conoscenze scientifiche di base e le conoscenze specialistiche mediche con quelle tecnologiche più avanzate. I laureati nel corso di laurea magistrale in Biotecnologie Mediche devono acquisire elevati livelli di competenza nella programmazione e nello sviluppo scientifico nonché nell'ambito tecnico-produttivo delle biotecnologie applicate nel campo della medicina. Le competenze tecnico-scientifiche per raggiungere le conoscenze idonee ad operare nell'ambito delle Biotecnologie Mediche verranno raggiunte attraverso un'articolazione del percorso formativo che comprenderà i seguenti insegnamenti: Anatomia e Fisiologia Umana, Biologia e Genetica, Microbiologia, Patologia umana articolata in tre livelli di approfondimento, Farmacologia e Biologia Molecolare, Diagnostiche Biotecnologiche e Terapie Biotecnologiche. La capacità di programmazione e di applicazione delle conoscenze alla ricerca saranno sviluppate soprattutto durante il tirocinio presso strutture scientifiche e di ricerca accreditate e durante la preparazione della tesi di laurea. Per l'ammissione al Corso di Laurea magistrale in Biotecnologie Mediche ad accesso libero occorre essere in possesso di un titolo di laurea. Possono accedere direttamente al corso le/i laureate/i nella classe L-2 (Biotecnologie DM 270) o classe 1 (Classe delle lauree in biotecnologie DM 509) e L-13 (Scienze Biologiche) o classe 12 (classe delle lauree in biologia DM 509). Si rinvia al Regolamento Didattico del Corso di Studio per l'indicazione dettagliata dei requisiti curriculari richiesti alle/ai laureate/i delle altre classi e per una descrizione più articolata delle 'Conoscenze richieste per l'accesso'"
BIOTECNOLOGIE VEGETALI,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/biotecnologie-vegetali,"La laurea in Biotecnologie è nata nell'AA 1995-96 come corso di studi quinquennale interfacoltà, caratterizzato da un percorso formativo comune nei primi due anni che si diversificava con corsi di indirizzo, offerti dalle Facoltà partecipanti, a partire dal terzo. L'indirizzo offerto e svolto presso la Facoltà di Agraria dell'Università di Torino consentiva di conseguire la laurea in Biotecnologie con ottime competenze in campo agrario vegetale. A seguito della riforma avviata con la legge 590/99, nell'AA 2000-2001 il corso è stato modificato introducendo una laurea triennale interfacoltà presso la Scuola Universitaria Interfacoltà per le Biotecnologie con un biennio comune a tutti/e gli/le studenti/esse ed un terzo anno di indirizzo che portava al conseguimento della laurea di primo livello in Biotecnologie curriculum agrario; veniva inoltre istituita la Laurea Specialistica in Biotecnologie Agrarie Vegetali, facente capo interamente alla Facoltà di Agraria."
BUSINESS & MANAGEMENT,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/business-management,"La laurea triennale in Business & Management fornisce agli studenti competenze quantitative e analitiche relative alla comprensione degli aspetti economici, sociali, politici e legali necessarie alle decisioni aziendali in ambito internazionale. Le principali materie oggetto di studio riguardano l'informativa economico-finanziaria, la contabilità, la finanza, il marketing, la strategia, l'economia e il comportamento organizzativo. Gli studenti, inoltre, acquisiranno consapevolezza delle problematiche di etica e sostenibilità aziendale, abilità di problem solving, orientamento alla leadership e di lavoro in team grazie ad un approccio interattivo basato sullo svolgimento e discussione di casi aziendali e attività di gruppo. Il costante focus internazionale mira ad enfatizzare la crescente spinta globale delle attività aziendali. Il Dipartimento ha inoltre stipulato accordi con molteplici università straniere attraverso cui gli studenti possono sperimentare direttamente gli aspetti inter-culturali dell'apprendimento e del lavoro in azienda, oltre che accrescere le proprie capacità linguistiche. I programmi erogati presso i partner internazionali sono riconosciuti da importanti enti di accreditamento come AACSB (Association to Advance Collegiate Schools of Business) e EFMD/EPAS. Le lezioni frontali sono organizzate secondo una struttura a blocchi che consente l'erogazione dei corsi in forma semi-intensiva lungo per 1-2 mesi, a cui segue direttamente la prova di esame. Questa modalità permette, inoltre, il coinvolgimento di docenti esteri e professionisti e manager di azienda."
BUSINESS ADMINISTRATION,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/business-administration,"Il corso di laurea magistrale in Business Administration mira a fornire una preparazione ad ampio spettro che copra le principali conoscenze ed abilità necessarie per inserirsi con ruoli manageriali sia nella direzione generale sia nelle direzioni funzionali di imprese in particolare multinazionali. Pertanto, il profilo che si mira a formare è quello di un giovane con mente aperta e visione a tutto tondo delle problematiche attinenti la gestione aziendale, capace di inserirsi come assistente alla direzione generale o alle varie direzioni funzionali, con l'obiettivo di raggiungere posizioni dirigenziali, quali ad esempio quelle di Chief Executive Officer (CEO), di Direttore di specifiche aree funzionali o di Chief Financial Officer (CFO) in grandi imprese multinazionali e multiculturali. L'accesso al corso di laurea magistrale in BUSINESS ADMINISTRATION è a numero programmato e si dovrà pertanto sostenere un test di ammissione."
"CAM - CINEMA, ARTI DELLA SCENA, MUSICA E MEDIA",https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/cam-cinema-arti-della-scena-musica-e-media,"Il corso di laurea magistrale in CAM Cinema, Arti della scena, Musica e Media) è finalizzato alla formazione di esperti nell'ambito dei time based media riproducibili, in quello degli eventi dal vivo e performativi e in quello della valorizzazione del patrimonio. Tale obiettivo è raggiunto fornendo competenze teoriche, storiche, critiche e metodologiche di carattere specialistico intorno alle forme della rappresentazione audiovisiva – al di là del supporto utilizzato –, della scrittura drammaturgica e dei linguaggi dello spettacolo, della musica e della creatività digitale. Il Corso di laurea magistrale in CAM lavora su due direttrici complementari: il versante archivistico, del restauro e della valorizzazione del patrimonio, da un lato, e l'ambito delle attività finalizzate alla produzione e all'organizzazione di eventi culturali, dall'altro."
CELLULAR AND MOLECULAR BIOLOGY-BIOLOGIA CELLULARE E MOLECOLARE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/cellular-and-molecular-biology-biologia-cellulare-e,"La Laurea Magistrale in Cellular and Molecular Biology-Biologia Cellulare e Molecolare (CMB) prepara biologi con una conoscenza approfondita e integrata dei sistemi biologici dal livello molecolare e cellulare fino agli organismi complessi, e in grado di applicare queste conoscenze in specifici settori della biologia applicata quali le biotecnologie, la biomedicina e le neuroscienze. La Laurea Magistrale CMB intende fornire agli studenti conoscenze all'avanguardia in discipline avanzate di Biologia Molecolare e Cellulare e sulle metodologie sperimentali avanzate e metodi scientifici di indagine. Inoltre intende sviluppare la capacità dello studente di lavorare in modo indipendente e in un team di ricerca, di progettare e realizzare esperimenti,"
"CHIMICA CLINICA, FORENSE E DELLO SPORT",https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/chimica-clinica-forense-e-dello-sport,"La proposta didattica della Laurea Magistrale in Chimica Clinica, Forense e dello Sport (LM in CCFS) nasce dalla consapevolezza che il mondo del lavoro in generale, ed alcuni settori di specializzazione in particolare, richiedono laureati che uniscano competenze biochimiche e di biologia genetica e molecolare con una professionalizzazione volta alla caratterizzazione chimico-fisica e analitica di campioni/reperti /materiali di prevalente origine biologica. Obiettivo del corso di Laurea in Chimica Clinica, Forense e dello Sport è la formazione di laureati che abbiano una eccellente preparazione chimica di base, fondamenti di biologia cellulare e di biochimica, unitamente a una buona padronanza del metodo scientifico di indagine e ad una marcata professionalizzazione in tre settori chiave della chimica più attuale. L'abbinamento dei tre tipi di specializzazione nasce dalla comunanza di una serie di insegnamenti formativi, che poggiano sulla comune matrice biologica sulla quale i chimici clinici, sportivi e forensi si trovano ad operare, nonché sui comuni obiettivi (l'analisi di tracce) e strumentazione volta alla caratterizzazione strutturale dei componenti."
CHIMICA DELL'AMBIENTE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/chimica-dellambiente,"Il corso di Laurea Magistrale è ad accesso non programmato. L'iscrizione al Corso di Laurea Magistrale degli studenti in possesso dei requisiti curriculari è subordinata al superamento della prova finalizzata alla verifica dell'adeguatezza della preparazione personale. Sono esentati dal sostenere tale prova i laureati di classe L-27 (scienze e tecnologie chimiche) e di Classe 21 (Classe delle lauree in scienze e tecnologie chimiche) che hanno conseguito il titolo presso le Università italiane con un punteggio almeno pari a 94/110. Il corso di laurea Magistrale in Chimica dell'Ambiente fornisce allo studente corsi formativi di base, che consentono di approfondire i concetti fondamentali della chimica e fisica dell'ambiente naturale e delle dinamiche delle interazioni naturali e antropogeniche, corsi di specializzazione mirati ad approfondire gli aspetti applicativi e normativi della materia, e una consistente preparazione professionalizzante sia teorica che pratica attuata in attività di laboratorio sulle tecniche chimico analitiche e chimico-fisiche di indagine. Lo studente viene preparato alla comprensione delle dinamiche ambientali, alla progettazione e gestione delle tecnologie per la protezione ambientale, alla gestione di laboratori di controllo ambientale, alle tecniche di protezione e controllo dell'ambiente, e allo sviluppo di tecnologie ecocompatibili. La laurea ha un unico percorso formativo e si conclude con l'elaborazione del lavoro di tesi sperimentale, che rappresenta un momento formativo importante e che permette allo studente di inserirsi in un gruppo di lavoro e di ricerca, con il completamento della sua capacità di comprensione, di applicazione delle conoscenze acquisite, della sua autonomia di giudizio e della sua abilità comunicativa."
